,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,12/27/2015,1.33,64236.62,1036.74,54454.85,48.16,8697,8604,93,0,conventional,2015,Albany
1,12/20/2015,1.35,54876.98,674.28,44638.81,58.33,9506,9408,97,0,conventional,2015,Albany
2,12/13/2015,0.93,118220.22,794.7,109149.67,130.5,8145,8042,103,0,conventional,2015,Albany
3,12/6/2015,1.08,78992.15,1132,71976.41,72.58,5811,5677,134,0,conventional,2015,Albany
4,11/29/2015,1.28,51039.6,941.48,43838.39,75.78,6184,5986,198,0,conventional,2015,Albany
5,11/22/2015,1.26,55979.78,1184.27,48067.99,43.61,6684,6556,127,0,conventional,2015,Albany
6,11/15/2015,0.99,83453.76,1368.92,73672.72,93.26,8319,8197,122,0,conventional,2015,Albany
7,11/8/2015,0.98,109428.33,703.75,101815.36,80,6829,6267,562,0,conventional,2015,Albany
8,11/1/2015,1.02,99811.42,1022.15,87315.57,85.34,11388,11105,284,0,conventional,2015,Albany
9,10/25/2015,1.07,74338.76,842.4,64757.44,113,8626,8061,564,0,conventional,2015,Albany
10,10/18/2015,1.12,84843.44,924.86,75595.85,117.07,8206,7878,328,0,conventional,2015,Albany
11,10/11/2015,1.28,64489.17,1582.03,52677.92,105.32,10124,9866,258,0,conventional,2015,Albany
12,10/4/2015,1.31,61007.1,2268.32,49880.67,101.36,8757,8380,377,0,conventional,2015,Albany
13,9/27/2015,0.99,106803.39,1204.88,99409.21,154.84,6034,5889,146,0,conventional,2015,Albany
14,9/20/2015,1.33,69759.01,1028.03,59313.12,150.5,9267,8489,778,0,conventional,2015,Albany
15,9/13/2015,1.28,76111.27,985.73,65696.86,142,9287,8665,621,0,conventional,2015,Albany
16,9/6/2015,1.11,99172.96,879.45,90062.62,240.79,7990,7763,227,0,conventional,2015,Albany
17,8/30/2015,1.07,105693.84,689.01,94362.67,335.43,10307,10219,88,0,conventional,2015,Albany
18,8/23/2015,1.34,79992.09,733.16,67933.79,444.78,10880,10746,135,0,conventional,2015,Albany
19,8/16/2015,1.33,80043.78,539.65,68666.01,394.9,10443,10298,146,0,conventional,2015,Albany
20,8/9/2015,1.12,111140.93,584.63,100961.46,368.95,9226,9116,110,0,conventional,2015,Albany
21,8/2/2015,1.45,75133.1,509.94,62035.06,741.08,11847,11769,79,0,conventional,2015,Albany
22,7/26/2015,1.11,106757.1,648.75,91949.05,966.61,13193,13062,131,0,conventional,2015,Albany
23,7/19/2015,1.26,96617,1042.1,82049.4,2238.02,11287,11103,184,0,conventional,2015,Albany
24,7/12/2015,1.05,124055.31,672.25,94693.52,4257.64,24432,24290,108,33,conventional,2015,Albany
25,7/5/2015,1.35,109252.12,869.45,72600.55,5883.16,29899,29663,236,0,conventional,2015,Albany
26,6/28/2015,1.37,89534.81,664.23,57545.79,4662.71,26662,26312,350,0,conventional,2015,Albany
27,6/21/2015,1.27,104849.39,804.01,76688.55,5481.18,21876,21662,214,0,conventional,2015,Albany
28,6/14/2015,1.32,89631.3,850.58,55400.94,4377.19,29003,28343,659,0,conventional,2015,Albany
29,6/7/2015,1.07,122743.06,656.71,99220.82,90.32,22775,22315,460,0,conventional,2015,Albany
