Row ID,Ship Mode,Segment,Category,Sales
1,Second Class,Consumer,Furniture,261.96
2,Second Class,Consumer,Furniture,731.94
3,Second Class,Corporate,Office Supplies,14.62
4,Standard Class,Consumer,Furniture,957.5775
5,Standard Class,Consumer,Office Supplies,22.368
6,Standard Class,Consumer,Furniture,48.86
7,Standard Class,Consumer,Office Supplies,7.28
8,Standard Class,Consumer,Technology,907.152
9,Standard Class,Consumer,Office Supplies,18.504
10,Standard Class,Consumer,Office Supplies,114.9
11,Standard Class,Consumer,Furniture,1706.184
12,Standard Class,Consumer,Technology,911.424
13,Standard Class,Consumer,Office Supplies,15.552
14,Standard Class,Consumer,Office Supplies,407.976
15,Standard Class,Home Office,Office Supplies,68.81
16,Standard Class,Home Office,Office Supplies,2.544
17,Standard Class,Consumer,Office Supplies,665.88
18,Second Class,Consumer,Office Supplies,55.5
19,Second Class,Consumer,Office Supplies,8.56
20,Second Class,Consumer,Technology,213.48
21,Second Class,Consumer,Office Supplies,22.72
22,Standard Class,Corporate,Office Supplies,19.46
23,Standard Class,Corporate,Office Supplies,60.34
24,Second Class,Consumer,Furniture,71.372
25,Standard Class,Consumer,Furniture,1044.63
26,Second Class,Consumer,Office Supplies,11.648
27,Second Class,Consumer,Technology,90.57
28,Standard Class,Consumer,Furniture,3083.43
29,Standard Class,Consumer,Office Supplies,9.618
30,Standard Class,Consumer,Furniture,124.2
31,Standard Class,Consumer,Office Supplies,3.264
32,Standard Class,Consumer,Office Supplies,86.304
33,Standard Class,Consumer,Office Supplies,6.858
34,Standard Class,Consumer,Office Supplies,15.76
35,Second Class,Home Office,Office Supplies,29.472
36,First Class,Corporate,Technology,1097.544
37,First Class,Corporate,Furniture,190.92
38,Standard Class,Home Office,Office Supplies,113.328
39,Standard Class,Home Office,Furniture,532.3992
40,Standard Class,Home Office,Furniture,212.058
41,Standard Class,Home Office,Technology,371.168
42,Standard Class,Corporate,Technology,147.168
43,Standard Class,Corporate,Office Supplies,77.88
44,Standard Class,Corporate,Office Supplies,95.616
45,First Class,Corporate,Technology,45.98
46,First Class,Corporate,Office Supplies,17.46
47,Second Class,Consumer,Office Supplies,211.96
48,Standard Class,Consumer,Technology,45
49,Standard Class,Consumer,Technology,21.8
50,Standard Class,Consumer,Office Supplies,38.22
51,Standard Class,Consumer,Office Supplies,75.18
52,Standard Class,Consumer,Furniture,6.16
53,Standard Class,Consumer,Furniture,89.99
54,Standard Class,Corporate,Office Supplies,15.26
55,Standard Class,Corporate,Technology,1029.95
56,First Class,Consumer,Office Supplies,208.56
57,First Class,Consumer,Office Supplies,32.4
58,First Class,Consumer,Furniture,319.41
59,First Class,Consumer,Office Supplies,14.56
60,First Class,Consumer,Technology,30
61,First Class,Consumer,Office Supplies,48.48
62,First Class,Consumer,Office Supplies,1.68
63,Standard Class,Consumer,Technology,13.98
64,Standard Class,Consumer,Office Supplies,25.824
65,Standard Class,Consumer,Office Supplies,146.73
66,Standard Class,Consumer,Furniture,79.76
67,Standard Class,Home Office,Furniture,213.115
68,Standard Class,Corporate,Office Supplies,1113.024
69,Standard Class,Corporate,Technology,167.968
70,First Class,Consumer,Office Supplies,75.88
71,Standard Class,Consumer,Office Supplies,4.616
72,Second Class,Consumer,Office Supplies,19.05
73,Standard Class,Consumer,Furniture,831.936
74,Standard Class,Consumer,Furniture,97.04
75,Standard Class,Consumer,Office Supplies,72.784
76,First Class,Corporate,Office Supplies,1.248
77,First Class,Corporate,Furniture,9.708
78,First Class,Corporate,Office Supplies,27.24
79,Second Class,Consumer,Furniture,19.3
80,First Class,Corporate,Office Supplies,208.16
81,First Class,Corporate,Office Supplies,16.74
82,Standard Class,Consumer,Office Supplies,14.9
83,Standard Class,Consumer,Office Supplies,21.39
84,Standard Class,Corporate,Office Supplies,200.984
85,First Class,Home Office,Office Supplies,230.376
86,Second Class,Consumer,Furniture,301.96
87,Standard Class,Consumer,Technology,19.99
88,Standard Class,Consumer,Office Supplies,6.16
89,Second Class,Home Office,Office Supplies,158.368
90,Standard Class,Corporate,Office Supplies,20.1
91,Standard Class,Corporate,Technology,73.584
92,Standard Class,Corporate,Office Supplies,6.48
93,Second Class,Consumer,Office Supplies,12.96
94,Second Class,Consumer,Furniture,53.34
95,Second Class,Consumer,Office Supplies,32.96
96,Standard Class,Home Office,Office Supplies,5.682
97,Second Class,Home Office,Furniture,96.53
98,First Class,Consumer,Office Supplies,51.312
99,Standard Class,Corporate,Office Supplies,77.88
100,Standard Class,Home Office,Office Supplies,64.624
